Date,Tweets,Prices,Comp,Negative,Neutral,Positive
2018-12-31,HAPPY NEW YEAR  Senator Schumer more than a year longer than any other Administration in history These are people who have been approved by committees and all others yet Schumer continues to hold them back from serving their Country Very Unfair Heads of countries are calling wanting to know why Senator Schumer is not approving their otherwise approved Ambassadors Likewise in Government lawyers and others are being delayed at a record pace 360 great and hardworking people are waiting for approval from Its incredible how Democrats can all use their ridiculous sound bite and say that a Wall doesnt work It does and properly built almost 100 They say its old technology  but so is the wheel They now say it is immoral but it is far more immoral for people to be dying Im in the Oval Office Democrats come back from vacation now and give us the votes necessary for Border Security including the Wall You voted yes in 2006 and 2013 One more yes but with me in office Ill get it built and Fast Im in the Oval Office Democrats come back from vacation now and give us the votes necessary for Border Security including the Wall You voted yes in 2006 and 3013 One more yes but with me in office Ill get it built and Fast I am the only person in America who could say that Im bringing our great troops back home with victory and get BAD press It is Fake News and Pundits who have FAILED for years that are doing the complaining If I stayed in Endless Wars forever they would still be unhappy I campaigned on Border Security which you cannot have without a strong and powerful Wall Our Southern Border has long been an Open Wound where drugs criminals including human traffickers and illegals would pour into our Country Dems should get back here an fix now Except the results are FAR BETTER than I ever said they were going to be I campaigned against the NEVER ENDING WARS remember I campaigned on getting out of Syria and other places Now when I start getting out the Fake News Media or some failed Generals who were unable to do the job before I arrived like to complain about me amp my tactics which are working Just doing what I said I was going to do If anybody but Donald Trump did what I did in Syria which was an ISIS loaded mess when I became President they would be a national hero ISIS is mostly gone were slowly sending our troops back home to be with their families while at the same time fighting ISIS remnants ,23381,-0.9391,0.139,0.745,0.116
2018-12-30, President and Mrs Obama builthas a ten foot Wall around their DC mansioncompound I agree totally necessary for their safety and security The US needs the same thing slightly larger version Great work by my Administration over the holidays to save Coast Guard pay during this SchumerShutdown No thanks to the Democrats who left town and are not concerned about the safety and security of Americans Veterans on President Trumps handling of Border Security  62 Approval Rating On being a strong leader  59  AP Poll Thank you It turns out to be true now that the Department of Justice and the FBI under President Obama rigged the investigation for Hillary and really turned the screws on Trump and now it looks like in a corrupt amp illegal way The facts are out now Whole Hoax exposed JesseBWatters ,23381,0.9835,0.09,0.644,0.266
2018-12-29, 2018 is being called THE YEAR OF THE WORKER by Steve Moore coauthor of Trumponomics It was indeed a great year for the American Worker with the best job market in 50 years and the lowest unemployment rate ever for blacks and Hispanics and all workers Big wage gains For those that naively ask why didnt the Republicans get approval to build the Wall over the last year it is because IN THE SENATE WE NEED 10 DEMOCRAT VOTES and they will gives us NONE for Border Security Now we have to do it the hard way with a Shutdown Too bad FoxNews children in question were very sick before they were given over to Border Patrol The father of the young girl said it was not their fault he hadnt given her water in days Border Patrol needs the Wall and it will all end They are working so hard amp getting so little credit Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally They cant If we had a Wall they wouldnt even try The two Just had a long and very good call with President Xi of China Deal is moving along very well If made it will be very comprehensive covering all subjects areas and points of dispute Big progress being made I am in the White House waiting for the Democrats to come on over and make a deal on Border Security From what I hear they are spending so much time on Presidential Harassment that they have little time left for things like stopping crime and our military ,23381,0.3644,0.105,0.786,0.11
2018-12-28, Thank you to Sean Parnell for the nice comments on foxandfriends about the troops wonderful reaction to Melania and I in Iraq and Germany Great things are happening Honduras Guatemala and El Salvador are doing nothing for the United States but taking our money Word is that a new Caravan is forming in Honduras and they are doing nothing about it We will be cutting off all aid to these 3 countries  taking advantage of US for years close the Southern Border Bring our car industry back into the United States where it belongs Go back to preNAFTA before so many of our companies and jobs were so foolishly sent to Mexico Either we build finish the Wall or we close the Border The United States looses soooo much money on Trade with Mexico under NAFTA over 75 Billion Dollars a year not including Drug Money which would be many times that amount that I would consider closing the Southern Border a profit making operation We build a Wall or ,23062,-0.3262,0.089,0.829,0.082
2018-12-27, CNN amp others within the Fake News Universe were going wild about my signing MAGA hats for our military in Iraq and Germany If these brave young people ask me to sign their hat I will sign Can you imagine my saying NO We brought or gave NO hats as the Fake News first reported This isnt about the Wall everybody knows that a Wall will work perfectly In Israel the Wall works 999 This is only about the Dems not letting Donald Trump amp the Republicans have a win They may have the 10 Senate votes but we have the issue Border Security 2020 Brad Blakeman The American people understand that we have been played by foreign actors who would rather have us fight their battles for them The President says look this is your neighborhood youve got to stand up to protect yourselves Dont always look to America Brad Blakeman The American people understand that we have been played by foreign actors who would rather have us fight their battles for them The Pesident says look this is your neighborhood youve got to stand up to protect yourselves Dont always look to America I totally agree  There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop Time to get tough on Border Security Build the Wall Border Patrol Agents want the Wall Democrats say they dont want the Wall even though they know it is really needed and they dont want ICE They dont have much to campaign on do they An Open Southern Border and the large scale crime that comes with such stupidity The reason the DACA for Wall deal didnt get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supreme Court case After ruling Dems dropped deal  and thats where we are today Democrat obstruction of the needed Wall The Democrats OBSTRUCTION of the desperately needed Wall where they almost all recently agreed it should be built is exceeded only by their OBSTRUCTION of 350 great people wanting amp expecting to come into Government after being delayed for more than two years a US record The reason the DACA for Wall deal didnt get done was that a ridiculous court decision from the 9th Circuit allowed DACA to remain thereby setting up a Supteme Court case After ruling Dems dropped deal  and thats where we are today Democrat obstruction of the needed Wall Have the Democrats finally realized that we desperately need Border Security and a Wall on the Southern Border Need to stop Drugs Human TraffickingGang Members amp Criminals from coming into our Country Do the Dems realize that most of the people not getting paid are Democrats ,23138,-0.9813,0.133,0.779,0.088
2018-12-26, ,22878,0.0,0.0,0.0,0.0
2018-12-25, I hope everyone even the Fake News Media is having a great Christmas Our Country is doing very well We are securing our Borders making great new Trade Deals and bringing our Troops Back Home We are finally putting America First MERRY CHRISTMAS  MAGA ,23381,0.9511,0.053,0.602,0.345
2018-12-24, I am in the Oval Office amp just gave out a 115 mile long contract for another large section of the Wall in Texas We are already building and renovating many miles of Wall some complete Democrats must end Shutdown and finish funding Billions of Dollars amp lives will be saved Christmas Eve briefing with my team working on North Korea  Progress being made Looking forward to my next summit with Chairman Kim  I am all alone poor me in the White House waiting for the Democrats to come back and make a deal on desperately needed Border Security At some point the Democrats not wanting to make a deal will cost our Country more money than the Border Wall we are all talking about Crazy Saudi Arabia has now agreed to spend the necessary money needed to help rebuild Syria instead of the United States See Isnt it nice when immensely wealthy countries help rebuild their neighbors rather than a Great Country the US that is 5000 miles away Thanks to Saudi A The Wall is different than the 25 Billion Dollars in Border Security The complete Wall will be built with the Shutdown money plus funds already in hand The reporting has been inaccurate on the point The problem is without the Wall much of the rest of Dollars are wasted I never lashed out at the Acting Attorney General of the US a man for whom I have great respect This is a made up story one of many by the Fake News Media The only problem our economy has is the Fed They dont have a feel for the Market they dont understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders The Fed is like a powerful golfer who cant score because he has no touch  he cant putt AMERICA IS RESPECTED AGAIN For all of the sympathizers out there of Brett McGurk remember he was the Obama appointee who was responsible for loading up airplanes with 18 Billion Dollars in CASH amp  sending it to Iran as part of the horrific Iran Nuclear Deal now terminated approved by Little Bob Corker We are substantially subsidizing the Militaries of many VERY rich countries all over the world while at the same time these countries take total advantage of the US and our TAXPAYERS on Trade General Mattis did not see this as a problem I DO and it is being fixed To those few Senators who think I dont like or appreciate being allied with other countries they are wrong I DO What I dont like however is when many of these same countries take advantage of their friendship with the United States both in Military Protection and Trade Virtually every Democrat we are dealing with today strongly supported a Border Wall or Fence It was only when I made it an important part of my campaign because people and drugs were pouring into our Country unchecked that they turned against it Desperately needed President RTErdogan of Turkey has very strongly informed me that he will eradicate whatever is left of ISIS in Syriaand he is a man who can do it plus Turkey is right next door Our troops are coming home The President has been remarkable I do not doubt that he will thrive in this new environment and he will be a constant reminder of what populism is Thank you to Tammy Bruce and Steve Hilton Presidential Harassment has been with me from the beginning The most important way to stop gangs drugs human trafficking and massive crime is at our Southern Border We need Border Security and as EVERYONE knows you cant have Border Security without a Wall The Drones amp Technology are just bells and whistles Safety for America Mitch McConnell just told a group of people and me that he has been in the US Senate for 32 years and the last two have been by far the best amp most productive of his career Tax amp Regulation Cuts VA Choice Farm Bill Criminal Justice Reform Judgeships amp much more Great ,21792,0.994,0.077,0.774,0.149
2018-12-23, Thanks RandPaul  I am very proud of the President This is exactly what he promised and I think the people agree with him Weve been at war too long and in too many placesspent several trillion dollars on these wars everywhere Hes differentthats why he got elected Bob Corker was responsible for giving us the horrible Iran Nuclear Deal which I ended yet he badmouths me for wanting to bring our young people safely back home Bob wanted to run and asked for my endorsement I said NO and the game was over MAGA I LOVE TENNESSEE Senator Bob Corker just stated that Im so priveledged to serve in the Senate for twelve years and thats what I told the people of our state thats what Id do serve for two terms But that is Not True  wanted to run but poll numbers TANKED when I wouldnt endorse him We signed two pieces of major legislation this week Criminal Justice Reform and the Farm Bill These are two Big Deals but all the Fake News Media wants to talk about is the mistake of bringing our young people back home from the Never Ending Wars It all began 19 years ago Unthinkable devastation from the tsunami disaster in Indonesia More than two hundred dead and nearly a thousand injured or unaccounted for We are praying for recovery and healing America is with you I just had a long and productive call with President RTErdogan of Turkey We discussed ISIS our mutual involvement in Syria amp the slow amp highly coordinated pullout of US troops from the area After many years they are coming home We also discussed heavily expanded Trade I am pleased to announce that our very talented Deputy Secretary of Defense Patrick Shanahan will assume the title of Acting Secretary of Defense starting January 1 2019 Patrick has a long list of accomplishments while serving as Deputy amp previously Boeing He will be great The only way to stop drugs gangs human trafficking criminal elements and much else from coming into our Country is with a Wall or Barrier Drones and all of the rest are wonderful and lots of fun but it is only a good old fashioned Wall that works When President Obama ingloriously fired Jim Mattis I gave him a second chance Some thought I shouldnt I thought I should Interesting relationshipbut I also gave all of the resources that he never really had Allies are very importantbut not when they take advantage of US If anybody but your favorite President Donald J Trump announced that after decimating ISIS in Syria we were going to bring our troops back home happy amp healthy that person would be the most popular hero in America With me hit hard instead by the Fake News Media Crazy ,23381,0.953,0.125,0.717,0.158
2018-12-22, I will not be going to Florida because of the Shutdown  Staying in the White House  MAGA Senate adjourns until December 27th I won an election said to be one of the greatest of all time based on getting out of endless amp costly foreign wars amp also based on Strong Borders which will keep our Country safe We fight for the borders of other countries but we wont fight for the borders of our own The crisis of illegal activity at our Southern Border is real and will not stop until we build a great Steel Barrier or Wall Let work begin Will be having lunch in White House residence with large group concerning Border Security going to be there for three months and that was seven years ago  we never left When I became President ISIS was going wild Now ISIS is largely defeated and other local countries including Turkey should be able to easily take care of whatever remains Were coming home I am in the White House working hard News reports concerning the Shutdown and Syria are mostly FAKE We are negotiating with the Democrats on desperately needed Border Security Gangs Drugs Human Trafficking amp more but it could be a long stay On Syria we were originally OUR GREAT COUNTRY MUST HAVE BORDER SECURITY  ,23381,0.801,0.133,0.712,0.156
